Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
56731-MCT,Female,53,Yes,Moncton,5,8,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0,0,1935.46,8784.86,Stayed,,
49302-SAS,Female,47,No,Saskatoon,14,4,,No,,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0,0,0,1993.2,Stayed,,
93520-SAS,Female,67,No,Saskatoon,13,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0,0,7.77,79.87,Joined,,
73360-STJ,Female,74,No,St. John's,0,30,,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services
36756-CHA,Male,64,Yes,Charlottetown,15,33,,No,,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0,0,0,25.1,Churned,Competitor,Competitor made better offer
11925-TOR,Female,78,Yes,Toronto,12,12,,Yes,Yes,No,,,,,,,,,,One Year,No,Bank Withdrawal,25.2,1306.3,0,0,1571.5,2877.8,Stayed,,
87346-CHA,Female,29,Yes,Charlottetown,12,20,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0,0,566.28,1781.88,Churned,Other,Don't know
86818-TOR,Female,29,Yes,Toronto,8,22,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0,0,802.93,2652.88,Stayed,,
57256-MCT,Female,18,No,Moncton,9,7,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,57.2,0,0,9.36,66.56,Joined,,
65431-WHI,Female,31,No,Whitehorse,12,24,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.35,76.35,0,0,49.72,126.07,Churned,Price,Long distance charges
13829-SUR,Female,34,Yes,Surrey,12,26,,No,,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0,0,0,30.5,Churned,Attitude,Attitude of service provider
19279-MIS,Female,35,No,Mississauga,14,18,,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0,20,1927.2,7603.95,Stayed,,
27129-CAL,Male,44,Yes,Calgary,0,23,,Yes,No,No,,,,,,,,,,Two Year,No,Credit Card,20.4,1090.6,0,0,1063.8,2154.4,Stayed,,
81327-YEL,Female,69,Yes,Yellowknife,6,3,Deal 3,Yes,No,No,,,,,,,,,,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8,Stayed,,
42012-MIS,Female,49,No,Mississauga,8,2,,Yes,No,No,,,,,,,,,,Two Year,No,Bank Withdrawal,19.7,1396.9,0,0,2648.91,4045.81,Stayed,,
79321-TOR,Female,22,Yes,Toronto,4,8,Deal 3,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0,0,1591.37,4838.92,Stayed,,
82811-HAM,Female,46,Yes,Hamilton,2,18,Deal 2,Yes,No,No,,,,,,,,,,One Year,No,Bank Withdrawal,20.45,900.9,0,0,2429.42,3330.32,Stayed,,
36568-HAM,Male,26,Yes,Hamilton,7,8,,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2,7942.15,0,0,2888.82,10830.97,Stayed,,
62683-MIS,Female,30,No,Mississauga,12,20,,Yes,No,No,,,,,,,,,,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,Stayed,,
18223-CHA,Male,32,No,Charlottetown,14,2,,No,,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0,0,0,825.4,Stayed,,
41111-TOR,Female,32,No,Toronto,10,8,,Yes,Yes,No,,,,,,,,,,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0,0,1317.52,2387.67,Stayed,,
74542-TOR,Female,41,No,Toronto,15,16,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0,0,279.4,5239,Stayed,,
18842-HAM,Male,56,Yes,Hamilton,2,30,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0,0,967.01,6564.66,Stayed,,
12210-OTT,Female,52,No,Ottawa,0,31,,Yes,No,No,,,,,,,,,,Two Year,No,Bank Withdrawal,20.3,224.5,0,0,231.36,455.86,Stayed,,
76566-MIS,Male,61,No,Mississauga,1,20,Deal 3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929,0,0,682.02,2611.02,Stayed,,
73036-KEL,Female,66,Yes,Kelowna,10,21,,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0,0,87.98,179.08,Churned,Competitor,Competitor made better offer
42964-TOR,Female,25,Yes,Toronto,3,25,Deal 3,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0,0,1320.57,3399.52,Stayed,,
18220-YEL,Male,35,No,Yellowknife,12,19,,Yes,Yes,No,,,,,,,,,,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,Stayed,,
47645-SUR,Male,51,Yes,Surrey,15,14,,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611,44.9,0,161.25,1727.35,Stayed,,
82015-MIS,Female,52,No,Mississauga,7,23,,No,,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45,1242.45,12.26,0,0,1230.19,Stayed,,
15644-THU,Female,22,No,Thunder Bay,6,3,,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0,0,2329.92,8646.12,Stayed,,
24801-MON,Female,61,Yes,Montreal,12,28,,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0,0,336.56,1064.41,Stayed,,
85794-YEL,Female,36,No,Yellowknife,5,4,Deal 3,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532,0,0,1274.7,4806.7,Stayed,,
72357-CHA,Female,53,No,Charlottetown,14,12,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0,0,42.95,87.25,Joined,,
28648-OTT,Male,54,Yes,Ottawa,3,14,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0,20,59.45,2687.05,Stayed,,
85682-WIN,Female,26,No,Windsor,3,20,,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0,40,351.36,5958.91,Stayed,,
93096-STJ,Male,31,Yes,St. John's,9,14,,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0,0,950.82,4718.22,Stayed,,
49974-HAL,Female,73,No,Halifax,4,29,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0,0,1765.6,5439.2,Stayed,,
36405-WHI,Male,47,No,Whitehorse,9,26,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0,0,1507.6,5544.45,Churned,Competitor,Competitor had better devices
22439-HAL,Female,73,Yes,Halifax,4,1,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.3,0,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction
33514-MIS,Female,28,Yes,Mississauga,2,3,Deal 5,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0,0,255.96,570.51,Stayed,,
21555-YEL,Female,54,No,Yellowknife,15,34,,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0,0,79.2,1967.65,Stayed,,
46640-SUR,Male,31,Yes,Surrey,8,31,,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0,0,557.82,1087.62,Stayed,,
23376-CAL,Female,68,No,Calgary,3,16,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,10067.14,Stayed,,
98423-KEL,Male,65,No,Kelowna,5,2,,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78,Stayed,,
34135-TOR,Female,21,No,Toronto,9,6,,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0,0,411.36,1623.46,Stayed,,
89530-VAN,Female,58,Yes,Vancouver,15,33,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,8182.85,0,0,2657.88,10840.73,Stayed,,
69173-CAL,Male,27,No,Calgary,9,27,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0,0,31.77,51.62,Churned,Attitude,Attitude of support person
22286-HAM,Female,54,Yes,Hamilton,6,36,,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0,0,40.71,140.46,Churned,Competitor,Competitor had better devices
66581-MIS,Female,73,Yes,Mississauga,8,32,Deal 3,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0,0,1019.52,3880.97,Stayed,,
22573-CAL,Male,46,No,Calgary,9,35,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0,0,779.36,2221.56,Stayed,,
25964-HAM,Male,66,Yes,Hamilton,10,1,Deal 2,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0,0,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds
92186-SUR,Female,42,No,Surrey,13,12,Deal 1,No,,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0,0,0,4145.9,Stayed,,
39892-BRA,Male,41,Yes,Brampton,3,31,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0,0,1639.77,5285.27,Stayed,,
71292-TOR,Female,18,No,Toronto,1,1,Deal 4,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0,0,496,683.75,Stayed,,
31698-SUR,Female,20,Yes,Surrey,15,1,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0,120,761.46,3198.56,Churned,Attitude,Attitude of service provider
76182-MIS,Male,47,No,Mississauga,7,10,,No,,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0,0,0,1448.8,Churned,Competitor,Competitor offered more data
73588-RIC,Female,72,No,Richmond,14,29,,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,0,0,877.24,3070.89,Stayed,,
59410-TOR,Male,50,No,Toronto,5,17,Deal 2,No,,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0,0,0,1748.9,Stayed,,
69444-KEL,Female,31,Yes,Kelowna,5,10,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.56,Churned,Competitor,Competitor made better offer
66365-MIS,Female,59,Yes,Mississauga,9,5,Deal 2,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,0,0,2878.59,8405.34,Stayed,,
66612-WIN,Female,38,Yes,Winnipeg,8,27,Deal 4,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0,0,688.8,2242.75,Churned,Attitude,Attitude of service provider
39181-MON,Male,54,Yes,Montreal,10,7,,No,,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147,0,0,0,1147,Stayed,,
97688-CAL,Female,35,Yes,Calgary,4,29,,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,6747.35,0,0,2391.84,9139.19,Stayed,,
71687-RIC,Male,69,Yes,Richmond,4,12,,Yes,No,No,,,,,,,,,,One Year,Yes,Bank Withdrawal,20.5,865.05,0,0,1205.6,2070.65,Stayed,,
34524-TOR,Female,57,No,Toronto,13,23,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,5976.9,36.02,40,3219.48,9200.36,Stayed,,
93739-MIS,Female,44,No,Mississauga,14,6,,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0,0,73.62,255.27,Churned,Competitor,Competitor offered higher download speeds
21662-STJ,Male,79,Yes,St. John's,15,36,,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3268.05,17.91,0,339.68,3589.82,Stayed,,
19096-MON,Female,58,Yes,Montreal,14,28,Deal 4,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,0,0,172.56,1224.96,Churned,Attitude,Attitude of support person
72489-HAM,Female,73,No,Hamilton,11,20,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,7634.25,0,0,1270.29,8904.54,Stayed,,
46624-MON,Female,26,Yes,Montreal,13,27,Deal 5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,0,0,1.23,81.43,Churned,Price,Lack of affordable download/upload speed
14078-TOR,Female,28,Yes,Toronto,6,18,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,63.75,0,0,77.25,141,Churned,Price,Long distance charges
34425-THU,Male,81,No,Thunder Bay,0,21,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2401.05,0,0,80.19,2481.24,Stayed,,
41236-SAS,Female,54,No,Saskatoon,10,12,Deal 3,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,0,0,346.84,858.09,Stayed,,
68369-MIS,Female,76,No,Mississauga,6,12,,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,3949.15,0,0,785.85,4735,Stayed,,
91027-WHI,Male,42,No,Whitehorse,4,20,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,0,0,872,3234.1,Churned,Competitor,Competitor had better devices
85993-VAN,Female,42,Yes,Vancouver,11,1,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,0,0,39.81,110.71,Churned,Competitor,Competitor had better devices
12999-MCT,Female,52,No,Moncton,5,34,Deal 4,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,0,0,599.28,1751.98,Churned,Attitude,Attitude of service provider
48768-CHA,Female,57,No,Charlottetown,12,26,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,8496.7,0,0,3482.64,11979.34,Stayed,,
86994-BRA,Female,55,Yes,Brampton,7,24,,Yes,No,No,,,,,,,,,,Two Year,Yes,Bank Withdrawal,19.55,470.2,0,0,255.36,725.56,Stayed,,
95096-MIS,Male,38,No,Mississauga,0,32,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,1564.4,0,0,148.96,1713.36,Stayed,,
71676-SAS,Female,18,No,Saskatoon,3,6,,Yes,Yes,No,,,,,,,,,,Two Year,No,Credit Card,25.35,1847.55,0,0,653.2,2500.75,Stayed,,
84002-BRA,Male,77,No,Brampton,5,5,,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,3694.7,0,0,829.95,4524.65,Stayed,,
66612-VAN,Female,58,Yes,Vancouver,11,18,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.95,58,0,0,8.07,66.07,Joined,,
32553-CAL,Male,52,No,Calgary,11,1,,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2,4017.45,0,0,51.23,4068.68,Stayed,,
72664-KEL,Female,39,No,Kelowna,4,36,,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108.15,6825.65,0,0,109.12,6934.77,Stayed,,
78178-WIN,Male,23,Yes,Windsor,6,1,,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,8309.55,0,0,204.48,8514.03,Stayed,,
31311-SUR,Male,66,Yes,Surrey,9,8,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89,605.45,0,0,293.79,899.24,Stayed,,
78389-RIC,Female,51,No,Richmond,4,36,Deal 3,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,74.4,1972.35,0,0,1259.82,3232.17,Stayed,,
22119-MON,Male,31,Yes,Montreal,5,5,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.05,33.7,0,0,3.62,37.32,Joined,,
47077-MON,Female,31,Yes,Montreal,9,3,Deal 3,No,,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,35.05,844.45,0,0,0,844.45,Stayed,,
94522-YEL,Male,77,Yes,Yellowknife,0,25,,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,74.75,2111.3,0,0,1158.3,3269.6,Stayed,,
53287-TOR,Female,69,Yes,Toronto,3,7,,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.5,6205.5,0,0,982.52,7188.02,Churned,Attitude,Attitude of support person
21811-WHI,Male,29,No,Whitehorse,13,7,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.3,0,100,20.2,975.5,Churned,Competitor,Competitor offered more data
16554-HAL,Female,64,No,Halifax,2,15,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.2,633.85,0,0,83.43,717.28,Stayed,,
32681-TOR,Female,83,Yes,Toronto,3,1,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.35,474.9,0,0,172.26,647.16,Churned,Other,Deceased
92676-TOR,Male,46,No,Toronto,1,34,,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,84.45,5848.6,0,40,2685.48,8574.08,Stayed,,
37347-STJ,Female,65,No,St. John's,4,13,,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,102.4,6471.85,0,0,689.7,7161.55,Stayed,,
53535-THU,Female,28,No,Thunder Bay,11,10,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,115.55,8127.6,0,0,714.7,8842.3,Churned,Dissatisfaction,Network reliability
39219-VAN,Female,58,Yes,Vancouver,6,35,Deal 3,Yes,Yes,No,,,,,,,,,,One Year,No,Bank Withdrawal,25.3,676.35,0,0,139.25,815.6,Churned,Price,Long distance charges
17059-HAL,Female,49,Yes,Halifax,9,32,Deal 2,Yes,No,No,,,,,,,,,,Two Year,Yes,Credit Card,19.25,864.2,0,0,1119.18,1983.38,Stayed,,
23294-CAL,Female,68,Yes,Calgary,8,28,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,114.65,6049.5,0,0,615.6,6665.1,Stayed,,
47612-STJ,Female,58,Yes,St. John's,10,35,,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1582.75,0,0,335.85,1918.6,Churned,Competitor,Competitor made better offer
